threshold,density,success,time_ms,selected,trial
0.25,0.30000000000000004,True,9.080247254319017,PPO,15
0.25,0.30000000000000004,True,8.417522514582187,PPO,16
0.25,0.30000000000000004,True,9.108806690543284,PPO,17
0.25,0.30000000000000004,False,12.059757974174227,PPO,18
0.25,0.30000000000000004,True,12.64516758383869,PPO,19
0.25,0.30000000000000004,True,9.455863866675884,PPO,20
0.25,0.30000000000000004,True,12.151613844119417,PPO,21
0.25,0.30000000000000004,False,14.629598907825425,PPO,22
0.25,0.30000000000000004,True,9.192198092713834,PPO,23
0.25,0.30000000000000004,True,16.164932572695108,PPO,24
0.25,0.30000000000000004,True,12.977988391000682,PPO,25
0.25,0.30000000000000004,True,10.246600786271454,PPO,26
0.25,0.30000000000000004,True,9.723487960003176,PPO,27
0.25,0.30000000000000004,True,11.25430446815286,PPO,28
0.25,0.30000000000000004,True,12.810213165836482,PPO,29
0.25,0.30000000000000004,True,11.824267738380868,PPO,30
0.25,0.30000000000000004,True,10.226678048947223,PPO,31
0.25,0.30000000000000004,False,11.34563447315385,PPO,32
0.25,0.30000000000000004,True,10.484375179609266,PPO,33
0.25,0.30000000000000004,True,10.045192803212204,PPO,34
0.25,0.30000000000000004,True,13.82683561949924,PPO,35
0.25,0.30000000000000004,True,11.023265297829841,PPO,36
0.25,0.30000000000000004,True,10.485497190840526,PPO,37
0.25,0.30000000000000004,True,12.591296367635465,PPO,38
0.25,0.30000000000000004,False,6.368488828387579,PPO,39
0.25,0.30000000000000004,True,13.649558336295456,PPO,40
0.25,0.30000000000000004,True,10.858433885397865,PPO,41
0.25,0.30000000000000004,True,16.343509449318034,PPO,42
0.25,0.30000000000000004,False,8.86187820281019,PPO,43
0.25,0.30000000000000004,True,12.549028685371285,PPO,44
0.25,0.30000000000000004,False,15.170882773441024,PPO,45
0.25,0.30000000000000004,True,12.709775910978031,PPO,46
0.25,0.30000000000000004,True,11.771245879865392,PPO,47
0.25,0.30000000000000004,True,15.331352078466768,PPO,48
0.25,0.30000000000000004,False,7.623373748622117,PPO,49
0.25,0.3500000000000001,True,10.645374847749977,PPO,0
0.25,0.3500000000000001,True,11.477297386474234,PPO,1
0.25,0.3500000000000001,True,5.1406652348327695,PPO,2
0.25,0.3500000000000001,False,15.386540725321264,PPO,3
0.25,0.3500000000000001,True,8.12277784252224,PPO,4
0.25,0.3500000000000001,True,17.405752104415498,PPO,5
0.25,0.3500000000000001,True,10.330462129318388,PPO,6
0.25,0.3500000000000001,True,12.00554393267324,PPO,7
0.25,0.3500000000000001,True,13.454311488340172,PPO,8
0.25,0.3500000000000001,False,12.945832415222991,PPO,9
0.25,0.3500000000000001,True,9.551854499266446,PPO,10
0.25,0.3500000000000001,False,10.824628873880748,PPO,11
0.25,0.3500000000000001,True,10.629698922210393,PPO,12
0.25,0.3500000000000001,False,16.234637125770497,PPO,13
0.25,0.3500000000000001,True,12.80430997739843,PPO,14
0.25,0.3500000000000001,False,10.029124622002074,PPO,15
0.25,0.3500000000000001,True,8.33530942280489,PPO,16
0.25,0.3500000000000001,False,15.950509136550394,PPO,17
0.25,0.3500000000000001,True,12.89764774863246,PPO,18
0.25,0.3500000000000001,True,13.657317562500575,PPO,19
0.25,0.3500000000000001,True,9.043336949299444,PPO,20
0.25,0.3500000000000001,True,9.718547561432413,PPO,21
0.25,0.3500000000000001,False,19.637806006387812,PPO,22
0.25,0.3500000000000001,True,13.018080136205981,PPO,23
0.25,0.3500000000000001,False,12.289004463518776,PPO,24
0.25,0.3500000000000001,False,7.700941150096422,PPO,25
0.25,0.3500000000000001,True,7.011675075838129,PPO,26
0.25,0.3500000000000001,True,13.178891593990642,PPO,27
0.25,0.3500000000000001,True,12.51053801735181,PPO,28
0.25,0.3500000000000001,False,14.292909329479865,PPO,29
0.25,0.3500000000000001,False,15.225416663468259,PPO,30
0.25,0.3500000000000001,True,8.541154925549852,PPO,31
0.25,0.3500000000000001,False,12.758642411598021,PPO,32
0.25,0.3500000000000001,True,8.465637901256768,PPO,33
0.25,0.3500000000000001,True,14.01088473792907,PPO,34
0.25,0.3500000000000001,True,5.962684350437359,PPO,35
0.25,0.3500000000000001,True,10.907009218621898,PPO,36
0.25,0.3500000000000001,False,13.486883919136671,PPO,37
0.25,0.3500000000000001,False,10.810017816044095,PPO,38
0.25,0.3500000000000001,True,9.855671649268865,PPO,39
0.25,0.3500000000000001,True,14.009710835727944,PPO,40
0.25,0.3500000000000001,False,11.830313465415886,PPO,41
0.25,0.3500000000000001,True,8.096797107846855,PPO,42
0.25,0.3500000000000001,True,10.936224198031846,PPO,43
0.25,0.3500000000000001,True,15.995252503803725,PPO,44
0.25,0.3500000000000001,True,14.87556612539715,PPO,45
0.25,0.3500000000000001,True,10.264072105785354,PPO,46
0.25,0.3500000000000001,False,14.243634867141797,PPO,47
0.25,0.3500000000000001,True,15.225459229103448,PPO,48
0.25,0.3500000000000001,False,11.584472854356756,PPO,49
0.25,0.40000000000000013,True,9.327371508527866,PPO,0
0.25,0.40000000000000013,False,12.097458675238771,PPO,1
0.25,0.40000000000000013,True,11.707686222244984,PPO,2
0.25,0.40000000000000013,False,10.331229233971488,PPO,3
0.25,0.40000000000000013,False,10.028956808803564,PPO,4
0.25,0.40000000000000013,True,14.405663990698887,PPO,5
0.25,0.40000000000000013,True,10.122965459341312,PPO,6
0.25,0.40000000000000013,True,9.202498067803784,PPO,7
0.25,0.40000000000000013,True,12.845874516197185,PPO,8
0.25,0.40000000000000013,True,15.51732104045179,PPO,9
0.25,0.40000000000000013,True,13.082678113935415,PPO,10
0.25,0.40000000000000013,True,10.230122302718554,PPO,11
0.25,0.40000000000000013,False,5.907707888438818,PPO,12
0.25,0.40000000000000013,True,7.640161843602134,PPO,13
0.25,0.40000000000000013,True,15.93953228053464,PPO,14
0.25,0.40000000000000013,True,9.777999821232568,PPO,15
0.25,0.40000000000000013,False,14.282495893820348,PPO,16
0.25,0.40000000000000013,False,10.021772730041025,PPO,17
0.25,0.40000000000000013,True,12.490138749225927,PPO,18
0.25,0.40000000000000013,False,7.8867180689538445,PPO,19
0.25,0.40000000000000013,False,12.477460016132873,PPO,20
0.25,0.40000000000000013,True,15.744498476376554,PPO,21
0.25,0.40000000000000013,True,14.5815610269207,PPO,22
0.25,0.40000000000000013,True,9.299422775771237,PPO,23
0.25,0.40000000000000013,False,8.16993450791729,PPO,24
0.25,0.40000000000000013,True,16.14499041881218,PPO,25
0.25,0.40000000000000013,True,13.768037447076518,PPO,26
0.25,0.40000000000000013,True,16.47942281864089,PPO,27
0.25,0.40000000000000013,True,6.392568294091919,PPO,28
0.25,0.40000000000000013,True,9.360813374051643,PPO,29
0.25,0.40000000000000013,True,12.248521373001015,PPO,30
0.25,0.40000000000000013,True,10.514661754717004,PPO,31
0.25,0.40000000000000013,False,16.931377619574707,PPO,32
0.25,0.40000000000000013,True,14.731944424406679,PPO,33
0.25,0.40000000000000013,True,11.792388027596436,PPO,34
0.25,0.40000000000000013,True,5.0,PPO,35
0.25,0.40000000000000013,True,18.71604112304967,PPO,36
0.25,0.40000000000000013,True,5.7453969062193355,PPO,37
0.25,0.40000000000000013,True,12.96244178748095,PPO,38
0.25,0.40000000000000013,True,10.949688635137564,PPO,39
0.25,0.40000000000000013,False,11.909641556495664,PPO,40
0.25,0.40000000000000013,True,9.940705749341047,PPO,41
0.25,0.40000000000000013,True,15.081471404556602,PPO,42
0.25,0.40000000000000013,False,12.278019261213197,PPO,43
0.25,0.40000000000000013,True,18.329263682113265,PPO,44
0.25,0.40000000000000013,False,16.182277491433165,PPO,45
0.25,0.40000000000000013,True,18.634681077690008,PPO,46
0.25,0.40000000000000013,False,13.739712899336784,PPO,47
0.25,0.40000000000000013,True,14.353337517315715,PPO,48
0.25,0.40000000000000013,True,12.324594470667268,PPO,49
0.25,0.45000000000000007,True,7.960297567701717,PPO,0
0.25,0.45000000000000007,True,5.0,PPO,1
0.25,0.45000000000000007,True,12.86184112084727,PPO,2
0.25,0.45000000000000007,False,16.96025139332641,PPO,3
0.25,0.45000000000000007,False,12.284141656061918,PPO,4
0.25,0.45000000000000007,True,11.945400245116835,PPO,5
0.25,0.45000000000000007,True,9.923453600929676,PPO,6
0.25,0.45000000000000007,True,16.658249497701924,PPO,7
0.25,0.45000000000000007,True,10.604233304688828,PPO,8
0.25,0.45000000000000007,True,17.785140698588712,PPO,9
0.25,0.45000000000000007,False,12.796666585997375,PPO,10
0.25,0.45000000000000007,True,9.674623693056907,PPO,11
0.25,0.45000000000000007,False,11.605584049932462,PPO,12
0.25,0.45000000000000007,True,16.006260966607247,PPO,13
0.25,0.45000000000000007,True,6.606244646482647,PPO,14
0.25,0.45000000000000007,False,11.043577154511206,PPO,15
0.25,0.45000000000000007,True,13.265652922106996,PPO,16
0.25,0.45000000000000007,False,10.573537202951432,PPO,17
0.25,0.45000000000000007,False,12.804510154798535,PPO,18
0.25,0.45000000000000007,True,12.795256761283762,PPO,19
0.25,0.45000000000000007,True,16.092591183165624,PPO,20
0.25,0.45000000000000007,True,16.540181637117566,PPO,21
0.25,0.45000000000000007,True,8.395217649106097,PPO,22
0.25,0.45000000000000007,True,20.570565465403583,PPO,23
