trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency,astar_decision_ms,bc_decision_ms,adaptive_decision_ms
1264,sparse,0.4444,False,1,1,1,0.9350,0.9507,0.9507,0.4584,0.4357,0.4255
1265,sparse,0.2500,True,1,1,1,0.8420,0.8470,0.8420,0.6425,0.5455,0.6562
1266,sparse,0.6861,False,1,1,1,0.8784,0.9174,0.9174,0.5070,0.4541,0.4527
1267,dense,0.4028,False,1,1,1,0.7981,0.8583,0.8583,1.3675,0.9117,0.8937
1268,very_dense,0.7139,False,1,1,1,0.8499,1.0935,1.0935,1.0611,0.7202,0.7209
1269,sparse,0.2417,True,1,1,1,0.7407,0.7552,0.7407,0.8542,0.6689,0.8681
1270,dense,0.6333,False,1,1,1,0.8859,1.1007,1.1007,0.9825,0.6554,0.6672
1271,sparse,0.1861,True,1,1,1,0.9176,0.9242,0.9176,0.4806,0.4458,0.4798
1272,very_dense,0.8806,False,1,1,1,0.8820,1.2518,1.2518,1.5965,0.8409,0.8564
1273,very_dense,0.7556,False,1,0,0,0.8537,1.2365,1.2365,1.3588,0.7526,0.7505
1274,very_dense,0.9694,False,0,0,0,0.1121,0.4699,0.4699,3.6272,0.6233,0.6198
1275,very_dense,0.7611,False,1,1,1,0.7511,0.8408,0.8408,2.7496,1.5466,1.5142
1276,dense,0.8111,False,0,0,0,0.3234,0.3328,0.3328,1.8321,1.0469,1.0355
1277,very_dense,0.8806,False,1,0,0,0.8214,0.7480,0.7480,1.2400,0.6165,0.6180
1278,sparse,0.4111,False,1,1,1,0.9026,0.9227,0.9227,0.5231,0.4750,0.4715
1279,very_dense,0.8639,False,0,0,0,0.6530,0.3787,0.3787,0.9658,0.6238,0.6230
1280,very_dense,0.8972,False,0,1,1,,,,3.6716,1.0856,1.0589
1281,very_dense,0.9028,False,0,0,0,0.2387,0.2652,0.2652,1.5815,0.6129,0.6095
1282,dense,0.7306,False,1,1,1,0.8144,0.8349,0.8349,1.3506,0.9107,0.9321
1283,very_dense,0.6833,False,1,1,1,0.8654,1.0418,1.0418,1.3647,0.8275,0.8354
1284,dense,0.9000,False,1,1,1,0.8440,0.8471,0.8471,1.1529,0.8179,0.8148
1285,sparse,0.7444,False,1,1,1,0.8852,0.9691,0.9691,0.4968,0.4620,0.4547
1286,very_dense,0.7778,False,1,1,1,0.7774,1.0015,1.0015,1.9129,1.0102,1.0125
1287,sparse,0.2333,True,1,1,1,0.9399,0.8833,0.9399,0.4909,0.4765,0.4919
1288,sparse,0.3500,False,1,1,1,0.8818,1.1457,1.1457,0.5132,0.4297,0.4333
1289,dense,0.6750,False,1,1,1,0.7792,0.8234,0.8234,1.6951,1.0267,1.0196
1290,sparse,0.4694,False,1,1,1,0.8095,0.8198,0.8198,0.8566,0.6483,0.6184
1291,very_dense,0.9028,False,0,0,0,0.1716,0.1748,0.1748,1.8469,0.6172,0.6190
