trial,world,rho0,used_astar,astar,bc,adaptive,astar_route_efficiency,bc_route_efficiency,adaptive_route_efficiency
180,very_dense,0.8667,False,1,1,1,0.8780,1.0070,1.0070
181,sparse,0.4250,False,1,1,1,0.8916,0.8888,0.8888
182,dense,0.7000,False,1,0,0,0.8397,1.1941,1.1941
183,very_dense,0.6639,False,1,1,1,0.7622,1.0053,1.0053
184,dense,0.4583,False,1,1,1,0.7273,0.7212,0.7212
185,dense,0.7250,False,1,1,1,0.7316,0.7776,0.7776
186,sparse,0.5778,False,1,1,1,0.9077,0.9658,0.9658
187,dense,0.4972,False,1,1,1,0.8989,1.2344,1.2344
188,sparse,0.3806,False,1,1,1,0.8341,0.8597,0.8597
189,sparse,0.3500,False,1,1,1,0.8323,0.8227,0.8227
190,very_dense,0.8389,False,1,0,0,0.8112,1.2738,1.2738
191,dense,0.7611,False,1,1,1,0.7040,0.7327,0.7327
192,dense,0.6639,False,1,1,1,0.8729,0.8470,0.8470
193,dense,0.7528,False,1,1,1,0.6566,0.6159,0.6159
194,very_dense,0.6750,False,1,1,1,0.7940,1.0229,1.0229
195,sparse,0.5139,False,1,1,1,0.8865,0.8702,0.8702
196,dense,0.7111,False,1,1,1,0.8632,0.9030,0.9030
197,sparse,0.5917,False,1,1,1,0.8623,0.9098,0.9098
198,dense,0.4639,False,1,1,1,0.7875,0.8359,0.8359
199,very_dense,0.6500,False,1,1,1,0.8999,1.0209,1.0209
200,dense,0.4583,False,1,1,1,0.8961,1.0172,1.0172
201,very_dense,0.5861,False,1,1,1,0.5800,0.7978,0.7978
202,dense,0.5778,False,0,1,1,0.6129,1.0446,1.0446
203,very_dense,0.7528,False,1,1,1,0.8227,0.8649,0.8649
204,dense,0.8889,False,1,1,1,0.8675,0.8562,0.8562
205,sparse,0.6250,False,1,1,1,0.9140,0.9155,0.9155
206,very_dense,0.8389,False,1,0,0,0.8552,0.5495,0.5495
207,very_dense,0.7194,False,1,1,1,0.8670,1.3589,1.3589
208,sparse,0.7639,False,1,1,1,0.9205,1.2601,1.2601
209,very_dense,0.7556,False,1,1,1,0.6550,0.6441,0.6441
210,sparse,0.5750,False,1,1,1,0.8573,1.3634,1.3634
211,very_dense,0.5889,False,1,1,1,0.7883,1.3540,1.3540
212,very_dense,0.6361,False,1,1,1,0.8388,0.9169,0.9169
213,dense,0.8139,False,1,1,1,0.8487,0.9680,0.9680
214,very_dense,0.6194,False,1,1,1,0.6696,0.7162,0.7162
215,sparse,0.2389,True,1,1,1,0.5758,0.5972,0.5758
216,sparse,0.6500,False,1,1,1,0.8182,0.9135,0.9135
217,sparse,0.2222,True,1,1,1,0.8644,1.0623,0.8644
218,dense,0.6278,False,1,1,1,0.8380,0.7671,0.7671
219,very_dense,0.7722,False,1,1,1,0.9009,1.1364,1.1364
220,sparse,0.4139,False,1,1,1,0.9248,0.9116,0.9116
221,dense,0.6472,False,1,1,1,0.7844,0.7983,0.7983
222,very_dense,0.7694,False,1,1,1,0.8743,1.0825,1.0825
223,sparse,0.4556,False,1,1,1,0.6974,0.7119,0.7119
224,very_dense,0.5667,False,1,1,1,0.8545,1.0087,1.0087
225,sparse,0.3750,False,1,1,1,0.8709,0.8682,0.8682
226,very_dense,0.7750,False,1,1,1,0.8250,0.9574,0.9574
227,dense,0.4944,False,1,1,1,0.8431,0.8981,0.8981
228,dense,0.7528,False,1,1,1,0.8251,1.1289,1.1289
229,sparse,0.1417,True,1,1,1,0.6981,0.6535,0.6981
230,dense,0.6611,False,1,1,1,0.8507,0.8840,0.8840
231,very_dense,0.7194,False,1,1,1,0.7668,0.9590,0.9590
232,sparse,0.1917,True,1,1,1,0.7381,0.7642,0.7381
233,very_dense,0.7000,False,1,1,1,0.8718,1.0063,1.0063
234,dense,0.5306,False,1,1,1,0.8150,1.0603,1.0603
235,very_dense,0.8639,False,1,1,1,0.8594,1.0114,1.0114
236,dense,0.6222,False,1,1,1,0.8320,0.8432,0.8432
237,dense,0.7806,False,1,0,0,0.8815,1.0859,1.0859
238,sparse,0.1583,True,1,1,1,0.9104,0.8741,0.9104
239,dense,0.9056,False,1,1,1,0.8767,0.8670,0.8670
240,sparse,0.6667,False,1,0,0,0.8940,0.3663,0.3663
241,dense,0.6444,False,1,1,1,0.8595,0.8660,0.8660
242,sparse,0.5444,False,1,1,1,0.7915,0.8687,0.8687
243,dense,0.5500,False,1,1,1,0.7443,0.7227,0.7227
244,dense,0.5694,False,1,1,1,0.8779,0.9671,0.9671
245,sparse,0.2083,True,1,1,1,0.8415,0.8157,0.8415
246,very_dense,0.7000,False,1,1,1,0.8072,0.9904,0.9904
247,dense,0.4250,False,1,1,1,0.9139,1.0095,1.0095
248,very_dense,0.7972,False,1,1,1,0.8767,1.0990,1.0990
249,sparse,0.6417,False,1,1,1,0.8891,0.9010,0.9010
250,sparse,0.5694,False,1,1,1,0.9333,1.0752,1.0752
251,dense,0.5889,False,1,1,1,0.7423,0.7591,0.7591
252,sparse,0.6806,False,1,1,1,0.8764,0.9271,0.9271
253,sparse,0.4500,False,1,1,1,0.8574,0.8514,0.8514
254,dense,0.4722,False,1,1,1,,,
255,sparse,0.4167,False,1,1,1,0.8789,0.9465,0.9465
256,very_dense,0.7250,False,1,1,1,0.7438,1.9463,1.9463
257,sparse,0.1278,True,1,1,1,0.7904,0.7867,0.7904
258,sparse,0.1778,True,1,1,1,0.8319,0.8605,0.8319
259,dense,0.4139,False,1,1,1,0.8987,1.0246,1.0246
260,very_dense,0.9056,False,1,0,0,0.8755,0.8316,0.8316
261,sparse,0.1306,True,1,1,1,0.7819,0.7798,0.7819
262,sparse,0.2111,True,1,1,1,0.8489,1.0579,0.8489
263,very_dense,0.8861,False,0,0,0,0.1924,0.2177,0.2177
264,very_dense,0.7444,False,1,1,1,,,
265,dense,0.4278,False,1,1,1,0.7024,0.8015,0.8015
266,dense,0.6639,False,0,1,1,,,
267,dense,0.4611,False,1,0,0,0.8950,1.1635,1.1635
268,dense,0.6722,False,1,1,1,0.6898,0.7447,0.7447
269,dense,0.8000,False,1,1,1,0.9254,0.9799,0.9799
270,sparse,0.1389,True,1,1,1,0.8325,0.8787,0.8325
271,sparse,0.4361,False,1,1,1,0.9065,0.9373,0.9373
272,sparse,0.2694,True,1,1,1,,,
273,very_dense,0.7972,False,0,1,1,,,
274,dense,0.5750,False,1,1,1,0.8407,0.8438,0.8438
275,dense,0.3694,False,1,1,1,0.8611,0.8814,0.8814
276,dense,0.4944,False,1,1,1,,,
277,very_dense,0.9194,False,0,0,0,0.2212,0.5271,0.5271
278,sparse,0.2000,True,1,1,1,0.7738,0.7694,0.7738
279,sparse,0.2944,True,1,1,1,0.9052,1.1554,0.9052
280,sparse,0.4694,False,1,1,1,0.8537,0.8132,0.8132
281,dense,0.4000,False,1,1,1,0.7077,0.7516,0.7516
282,very_dense,0.8667,False,1,1,1,0.8945,0.9196,0.9196
283,dense,0.6889,False,1,1,1,0.6173,1.0012,1.0012
284,dense,0.8917,False,1,1,1,0.6850,0.7423,0.7423
285,very_dense,0.8667,False,1,1,1,0.8635,1.2704,1.2704
286,sparse,0.3139,False,1,1,1,0.7164,0.7198,0.7198
287,dense,0.6583,False,1,1,1,0.9052,1.0655,1.0655
288,dense,0.6944,False,1,1,1,0.7549,0.7902,0.7902
289,dense,0.7806,False,1,1,1,0.7631,0.8456,0.8456
290,very_dense,0.7639,False,1,1,1,0.8486,0.9918,0.9918
291,sparse,0.5833,False,1,1,1,0.7920,0.7899,0.7899
292,very_dense,0.9056,False,0,1,1,0.1284,0.4914,0.4914
293,sparse,0.4778,False,1,1,1,0.9123,1.0239,1.0239
294,dense,0.9056,False,1,1,1,0.8442,0.8709,0.8709
295,dense,0.4361,False,1,1,1,0.7412,0.7372,0.7372
296,very_dense,0.8556,False,0,0,0,0.0608,0.2434,0.2434
297,dense,0.8111,False,1,1,1,0.8756,0.9746,0.9746
298,sparse,0.2333,True,1,1,1,0.7853,1.1562,0.7853
299,sparse,0.1056,True,1,1,1,0.8889,0.8497,0.8889
300,dense,0.6861,False,1,1,1,0.8977,0.8833,0.8833
301,very_dense,0.7528,False,0,1,1,,,
302,sparse,0.5333,False,1,1,1,0.8047,0.9326,0.9326
303,very_dense,0.7694,False,1,1,1,0.8330,0.8958,0.8958
304,dense,0.4500,False,1,1,1,0.7225,0.6756,0.6756
305,sparse,0.4222,False,1,1,1,0.8196,0.8424,0.8424
306,sparse,0.2806,True,0,1,0,,,
307,dense,0.6250,False,0,1,1,,,
308,sparse,0.1028,True,1,1,1,0.8874,0.8771,0.8874
309,sparse,0.6056,False,1,1,1,0.9229,0.9598,0.9598
