threshold,target_density,actual_density,trial,success,planning_time_ms,selected_planner,path_length,start_x,start_y,goal_x,goal_y
0.25,0.2,0.2044,5,True,37.51873970031738,rrt_star,4,65.48385086114124,59.79721310458026,69.57749071163161,45.23027237358837
0.25,0.2,0.2044,6,True,4.155635833740234,rrt_star,10,63.297771819846844,88.66046047263242,26.25554859145381,87.20515268143987
0.25,0.2,0.2044,7,True,1.6493797302246094,rrt_star,10,66.04223905794078,68.69429029324152,27.181572059916185,64.30399593386032
0.25,0.2,0.2044,8,True,7.587194442749023,rrt_star,13,53.44757420908174,51.427173601068304,21.96161270300079,87.21114882007225
0.25,0.2,0.2044,9,True,23.92745018005371,rrt_star,13,81.2927093834217,57.36989144518279,38.239340442760415,20.2028722094798
0.25,0.2,0.2044,10,True,12.884140014648438,rrt_star,17,13.831801288880317,89.94147525194573,48.76284949349978,21.391749497615308
0.25,0.2,0.2044,11,True,4.886388778686523,rrt_star,24,84.04619864836135,6.915558842491478,24.68913122291855,88.4859180915235
0.25,0.2,0.2044,12,True,15.920877456665039,rrt_star,16,45.38154799981554,37.0756976392337,6.436443362477567,80.35246853361599
0.25,0.2,0.2044,13,True,0.30803680419921875,rrt_star,3,44.446091762475234,47.44681343517722,55.03533752358889,53.31301020027408
0.25,0.2,0.2044,14,True,289.5069122314453,rrt_star,21,13.997847024182102,29.003915699178616,75.7392036725493,93.26372230383765
0.25,0.2,0.2044,15,True,3.7016868591308594,rrt_star,11,48.79305156898712,27.819604655446096,26.126548327853392,69.63820813405027
0.25,0.2,0.2044,16,True,0.2505779266357422,rrt_star,3,62.64951164507945,69.48740219681378,62.52490073302842,78.92693001400306
0.25,0.2,0.2044,17,True,9.955406188964844,rrt_star,19,33.73229210781135,16.527693182247127,75.96921425428194,80.65369323210123
0.25,0.2,0.2044,18,True,49.71718788146973,rrt_star,15,37.5689138242151,64.40442465027208,94.18240521764406,91.63891134334463
0.25,0.2,0.2044,19,True,7.553577423095703,rrt_star,17,7.187778226382565,25.77117166963783,71.11550553870707,57.62401665463385
0.25,0.2,0.2044,20,True,77.42691040039062,rrt_star,15,80.49621074091799,82.51926131679618,82.04378687568267,11.173046275693022
0.25,0.2,0.2044,21,True,19.136667251586914,rrt_star,15,10.828722601569371,5.765928474197002,58.55857995477493,41.163100189702675
