density,actual_density,success,selected_planner,planning_time_ms,path_length,euclidean_distance,smoothness,energy_consumption,safety_clearance,length_optimality,composite_score,start_x,start_y,goal_x,goal_y
0.45,0.4527,True,ppo,11.70881242152971,27,48.96158584568612,0.7453794479192121,9.311176075342694,1.0089866921155293,0.678747571023675,0.6490359207175366,84.13447635243776,39.08491528092699,77.80701918649528,87.63592118541526
0.45,0.4527,False,ppo,12.336746592272002,0,67.82479723625832,0.0,0.0,0.0,0.0,0.0,30.8694006495071,81.61349530164937,17.563116531129786,15.106759378883057
0.45,0.4527,True,ppo,11.98732048519108,11,50.39573336765265,0.8033177559817479,3.819866293763473,1.0376557783975542,0.8487439464663469,0.7337436205555151,63.03510002148197,28.48983514928421,32.60707457924826,68.66277640767748
0.45,0.4527,True,ppo,9.471705780818224,11,25.826667398064984,0.8493945499161903,3.817945782659244,0.9467466874884632,0.8228069789256439,0.7128233739444485,94.08241673100144,19.507175918007697,85.98159740965683,44.03050104355302
0.45,0.4527,True,ppo,12.263987074246623,21,47.3744347806604,0.8148370259108648,7.8150426611148465,1.0115543184342517,0.8129389003974185,0.6981239435570951,71.73993804038498,46.10837577756366,45.389803030573816,6.73824171947631
0.45,0.4527,False,ppo,19.302442369939715,0,102.6421967677781,0.0,0.0,0.0,0.0,0.0,5.722704684967082,31.79036471154503,94.02651357459854,84.11490859774362
0.45,0.4527,True,ppo,11.410096340192174,28,48.79657371148239,0.61900332608134,9.5428965212745,1.0382524218523383,0.676171370836548,0.6251734808020724,77.31953159190856,35.32704455389573,28.537392179287604,36.51383868420963
0.45,0.4527,True,ppo,12.10415456955658,11,27.166126848909524,0.8165118183021842,4.029968529054742,1.0,0.8813776547975091,0.730105585768065,60.16922789997847,29.83466016862415,35.87703247778805,41.9955684217586
0.45,0.4527,True,ppo,6.629408396086037,21,39.89840042640648,0.8370142194105122,7.251220204055967,1.0115543184342517,0.7309760791689726,0.6892136152576156,71.05141799955231,52.8142477916384,74.99462495274571,92.51731411541444
0.45,0.4527,False,ppo,12.74666195137248,0,98.81118933706232,0.0,0.0,0.0,0.0,0.0,6.290454221323072,18.18232723889088,81.40820398508849,82.3771464117268
0.45,0.4527,False,ppo,13.025518938011295,0,65.28258034305975,0.0,0.0,0.0,0.0,0.0,43.4652425278496,38.952565517807216,80.91031469765349,92.428558883487
0.45,0.4527,True,ppo,8.862425062799183,16,44.48317968524823,0.8399431597911383,5.781446506689132,1.0258883476483185,0.8831590566236281,0.7312493967336327,76.7478268071531,84.40818142683649,69.26357417744265,40.55913083865667
0.45,0.4527,True,ppo,8.282316918743716,11,26.502051650216025,0.8402050109455484,3.883876846661472,0.9090909090909092,0.868807362714958,0.7077288399552143,61.85661585605892,56.408847974271765,47.71089282673687,78.81994481598002
0.45,0.4527,True,ppo,11.821157895283468,22,53.06465476206432,0.8395339146872538,8.121190383755073,0.9733733437442316,0.8779244829198124,0.7048890815725729,84.84174417934574,68.04537819925463,34.11273485192436,52.47536863999392
0.45,0.4527,True,ppo,15.758000216550192,31,68.60060298318129,0.8422205952871851,11.715703431832988,0.967741935483871,0.8056037510275861,0.681659208734002,13.2304491404752,22.265414118129137,19.12272286836033,90.61249774260968
0.45,0.4527,True,ppo,10.81233839350342,22,47.351230549342574,0.7690396770038808,8.031142990697848,1.0,0.7953566008452551,0.6790132283174954,23.091456526293516,91.7780834806819,5.792302342116665,47.69999029314632
0.45,0.4527,True,ppo,12.049300732222845,22,48.284187303339294,0.7516859544906588,8.09657818216177,1.018827889198777,0.8101114455819926,0.6830750061851099,64.57255257053154,59.2377977075574,16.310156831424962,57.787314661872834
0.45,0.4527,True,ppo,15.49474022957878,36,77.01181200477163,0.7915736754816206,13.426707415211297,0.9722222222222222,0.7867586933404259,0.6642407955916844,21.16368049642612,39.32741683529886,75.68156375414613,93.72061120146844
0.45,0.4527,True,ppo,14.053680575681849,18,40.688581590695776,0.8330201663099175,6.541028084832567,1.0,0.8094195059140445,0.7032909211361321,84.53311121534885,67.40833247306267,74.34943135272447,28.014762739941435
